Quotes,Class
it is during our darkest moments that we must focus to see the light,motivation
fortune always favors the brave and never helps a man who does not help himself,motivation
go confidently in the direction of your dreams live the life you have imagined,motivation
 perfection is not attainable but if we chase perfection we can catch excellence,motivation
life is ten percent what happens to you and ninety percent how you react to it,motivation
if you do not like something change it if you cannot change it change your attitude,motivation
successful man is one who can lay a firm foundation with the bricks others have thrown at him,motivation
no one can make you feel inferior without your consent,motivation
what seems to us as bitter trials are often blessings in disguise,motivation
the meaning of life is to find your gift the purpose of life is to give it away,motivation
you may have to fight a battle more than once to win it,motivation
if you are not willing to risk the usual you will have to settle for the ordinary,motivation
to live a creative life we must lose our fear of being wrong,motivation
all our dreams can come true if we have the courage to pursue them,motivation
successful entrepreneurs are givers and not takers of positive energy,motivation
if you do what you always did you will get what you always got,motivation
distance between insanity and genius is measured only by success,motivation
believe that the only courage anybody ever needs is the courage to follow your own dreams,motivation
no masterpiece was ever created by a lazy artist,motivation
blessed are those who can give without remembering and take without forgetting,motivation
do one thing every day that scares you,motivation
nothing in the world is more common than unsuccessful people with talent,motivation
you can do anything but not everything,motivation
innovation distinguishes between a leader and a follower,motivation
there are two types of people who will tell you that you cannot make a difference in this world those who are afraid to try and those who are afraid you will succeed,motivation
the starting point of all achievement is desire,motivation
progress takes place outside the comfort zone,motivation
only put off until tomorrow what you are willing to die having left undone,motivation
only place where success comes before work is in the dictionary,motivation
too many of us are not living our dreams because we are living our fears,motivation
road to success and the road to failure are almost exactly the same,motivation
the function of leadership is to produce more leaders not more followers,motivation
first step toward success is taken when you refuse to be a captive of the environment in which you first find yourself,motivation
real entrepreneur is somebody who has no safety net underneath them,motivation
there is no traffic jam along the extra mile,motivation
do not let the fear of losing be greater than the excitement of winning,motivation
if you want to make a permanent change stop focusing on the size of your problems and start focusing on the size of you,motivation
success does not consist in never making mistakes but in never making the same one a second time,motivation
motivation is what gets you started habit is what keeps you going,motivation
you must expect great things of yourself before you can do them,motivation
people rarely succeed unless they have fun in what they are doing,motivation
goal is not always meant to be reached it often serves simply as something to aim at,motivation
to accomplish great things we must not only act but also dream not only plan but also believe,motivation
what you declare you will achieve,motivation
when you think you can not revist a previous victory,motivation
sometimes things become possible if we want them bad enough,motivation
to be a leader you must stand for something or you will fall for anything,motivation
this very second you could be doing something you love and dream about doing so do it now,motivation
courage is facing your fears stupidity is fearing nothing,motivation
the spirit the will to win and the will to excel are the things that endure these qualities are so much more important than the events that occur,motivation
victory is always possible for the person who refuses to stop fighting,motivation
great works are performed not by strength but perseverance,motivation
it does not matter what you are thinking or what fear you have if you just do it,motivation
action is the only thing that matters,motivation
i can see that at the end of my life i am not going to look back and say i wish i had taken more action,motivation
people become successful the minute they decide to,motivation
winning is not a sometime thing ,motivation
you do not win once in a while you do not do things right once in a while you do them right all of the time,motivation
winning is a habit unfortunately so is losing,motivation
good things come to those who hustle while they wait,motivation
you are ideas are like diamonds without the refining process they are just a dirty rock but by cutting away the impurities they become priceless,motivation
the fastest way to pass you are own expectations is to add passion to you are labour,motivation
success is predictable,motivation
time patience and perseverance will accomplish all things,motivation
society may predict but only i can determine my destiny,motivation
to be a champion you have to believe in yourself when nobody else will,motivation
successful people tend to become more successful because they are always,motivation
thinking about their successes,motivation
accept the past for what it was acknowledge the present for what it is anticipate the future for what it can become,motivation
to be a winner all you have to give is all you have,motivation
if we are to achieve results never before accomplished we must expect to employ methods never before attempted,motivation
It is only when you have the courage to step off the ledge that you will realize you have had wings all along,motivation
